META,version=1,fixture_root=../../../tools/direct-logic-dregg-benchmark/generated,profile=release,warmups=5,prove_samples=25,verify_samples=75,pair_order=alternating,proof_encoding=postcard,release_prover_self_verify=false,field=babybear,ext_degree=4,fri_log_blowup=6,fri_log_final_poly_len=0,fri_max_log_arity=3,fri_queries=19,fri_query_pow_bits=16,trace_rows=1
TAMPER,admission,source,public_input_0,verifier_rejected
TAMPER,admission,optimized,public_input_0,verifier_rejected
SAMPLE,upgrade,optimized,verify,24,35981208
SAMPLE,upgrade,optimized,verify,25,529250
SAMPLE,upgrade,source,verify,25,25549000
SAMPLE,upgrade,source,verify,26,1049959
SAMPLE,upgrade,optimized,verify,26,500334
SAMPLE,upgrade,optimized,verify,27,351625
SAMPLE,upgrade,source,verify,27,372250
SAMPLE,upgrade,source,verify,28,363000
SAMPLE,upgrade,optimized,verify,28,332125
SAMPLE,upgrade,optimized,verify,29,328417
SAMPLE,upgrade,source,verify,29,360959
SAMPLE,upgrade,source,verify,30,358917
SAMPLE,upgrade,optimized,verify,30,328875
SAMPLE,upgrade,optimized,verify,31,330250
SAMPLE,upgrade,source,verify,31,360500
SAMPLE,upgrade,source,verify,32,358833
SAMPLE,upgrade,optimized,verify,32,328708
SAMPLE,upgrade,optimized,verify,33,327208
SAMPLE,upgrade,source,verify,33,358959
SAMPLE,upgrade,source,verify,34,358542
SAMPLE,upgrade,optimized,verify,34,380667
SAMPLE,upgrade,optimized,verify,35,804667
SAMPLE,upgrade,source,verify,35,376125
SAMPLE,upgrade,source,verify,36,364792
SAMPLE,upgrade,optimized,verify,36,334958
SAMPLE,upgrade,optimized,verify,37,330833
SAMPLE,upgrade,source,verify,37,15474708
SAMPLE,upgrade,source,verify,38,388083
SAMPLE,upgrade,optimized,verify,38,502167
SAMPLE,upgrade,optimized,verify,39,341958
SAMPLE,upgrade,source,verify,39,369209
SAMPLE,upgrade,source,verify,40,717458
SAMPLE,upgrade,optimized,verify,40,883167
SAMPLE,upgrade,optimized,verify,41,4344916
SAMPLE,upgrade,source,verify,41,380375
SAMPLE,upgrade,source,verify,42,365500
SAMPLE,upgrade,optimized,verify,42,542750
SAMPLE,upgrade,optimized,verify,43,1043500
SAMPLE,upgrade,source,verify,43,821458
SAMPLE,upgrade,source,verify,44,867958
SAMPLE,upgrade,optimized,verify,44,346083
SAMPLE,upgrade,optimized,verify,45,334375
SAMPLE,upgrade,source,verify,45,367833
SAMPLE,upgrade,source,verify,46,361958
