META,session=session-01,warmups=20,repeats=200,order=alternating,consumer_verifier=true
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,104,1132675
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,105,1133747
VERIFY_SWEEP,session-01,admission,expiry-none,source,105,1486763
VERIFY_SWEEP,session-01,admission,expiry-none,source,106,1465553
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,106,1152954
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,107,1120352
VERIFY_SWEEP,session-01,admission,expiry-none,source,107,1481804
VERIFY_SWEEP,session-01,admission,expiry-none,source,108,1475943
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,108,1250918
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,109,1205904
VERIFY_SWEEP,session-01,admission,expiry-none,source,109,1556124
VERIFY_SWEEP,session-01,admission,expiry-none,source,110,1582724
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,110,1184192
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,111,1153986
VERIFY_SWEEP,session-01,admission,expiry-none,source,111,1552277
VERIFY_SWEEP,session-01,admission,expiry-none,source,112,1461094
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,112,1162311
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,113,1106506
VERIFY_SWEEP,session-01,admission,expiry-none,source,113,1489629
VERIFY_SWEEP,session-01,admission,expiry-none,source,114,1487163
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,114,1163884
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,115,1131633
VERIFY_SWEEP,session-01,admission,expiry-none,source,115,1487555
VERIFY_SWEEP,session-01,admission,expiry-none,source,116,1450435
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,116,1158965
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,117,1141291
VERIFY_SWEEP,session-01,admission,expiry-none,source,117,1503815
VERIFY_SWEEP,session-01,admission,expiry-none,source,118,1479790
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,118,1149087
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,119,1156550
VERIFY_SWEEP,session-01,admission,expiry-none,source,119,1494978
VERIFY_SWEEP,session-01,admission,expiry-none,source,120,1486612
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,120,1155348
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,121,1138286
VERIFY_SWEEP,session-01,admission,expiry-none,source,121,1511300
VERIFY_SWEEP,session-01,admission,expiry-none,source,122,1489708
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,122,1140200
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,123,1135141
VERIFY_SWEEP,session-01,admission,expiry-none,source,123,1491993
VERIFY_SWEEP,session-01,admission,expiry-none,source,124,1481883
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,124,1154367
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,125,1171468
VERIFY_SWEEP,session-01,admission,expiry-none,source,125,1503364
VERIFY_SWEEP,session-01,admission,expiry-none,source,126,1504426
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,126,1190805
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,127,1152212
VERIFY_SWEEP,session-01,admission,expiry-none,source,127,1518002
VERIFY_SWEEP,session-01,admission,expiry-none,source,128,1520346
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,128,1174204
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,129,1213818
VERIFY_SWEEP,session-01,admission,expiry-none,source,129,1553429
VERIFY_SWEEP,session-01,admission,expiry-none,source,130,1531738
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,130,1177660
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,131,1138676
VERIFY_SWEEP,session-01,admission,expiry-none,source,131,1483076
VERIFY_SWEEP,session-01,admission,expiry-none,source,132,1498696
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,132,1168733
